type,level_1,model11
aggressive,accuracy,0.5108108108108108
aggressive,f1-score,0.34541410820480595
aggressive,precision,0.26092768444119796
aggressive,recall,0.5108108108108108
alternative,accuracy,0.5108108108108108
alternative,f1-score,0.34541410820480595
alternative,precision,0.26092768444119796
alternative,recall,0.5108108108108108
balanced,accuracy,0.5355450236966824
balanced,f1-score,0.426156822155784
balanced,precision,0.583481401798817
balanced,recall,0.5355450236966824
conservative,accuracy,0.4786729857819905
conservative,f1-score,0.31515768667962524
conservative,precision,0.751749040848567
conservative,recall,0.4786729857819905
growth,accuracy,0.5108108108108108
growth,f1-score,0.34541410820480595
growth,precision,0.26092768444119796
growth,recall,0.5108108108108108
