,type,level_1,model11
0,aggressive,accuracy,0.5513513513513514
1,aggressive,f1-score,0.5460858030609964
2,aggressive,precision,0.5514109972041006
3,aggressive,recall,0.5513513513513514
4,alternative,accuracy,0.5162162162162162
5,alternative,f1-score,0.5102440197379956
6,alternative,precision,0.5146982712801297
7,alternative,recall,0.5162162162162162
8,balanced,accuracy,0.4928909952606635
9,balanced,f1-score,0.47276061482320814
10,balanced,precision,0.4998503844665828
11,balanced,recall,0.4928909952606635
12,conservative,accuracy,0.46445497630331756
13,conservative,f1-score,0.4646715185327252
14,conservative,precision,0.466580388405634
15,conservative,recall,0.46445497630331756
16,growth,accuracy,0.5405405405405406
17,growth,f1-score,0.5339863921099619
18,growth,precision,0.5402726893017705
19,growth,recall,0.5405405405405406
